Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-20,5.787712097167969,5.986394882202148,5.787712097167969,5.960478782653809,3820,0,0.0,,,,,,,,,,5.4853692054748535
2017-04-21,5.960478782653809,5.960478782653809,5.960478782653809,5.960478782653809,0,0,0.0,0.0,1.0,,,,,,,,5.4853692054748535
2017-04-24,5.830904006958008,5.917287826538086,5.701327800750732,5.874095916748047,13197,0,0.0,-0.014492605217747423,0.9855073947822526,,,,,,,,5.4853692054748535
2017-04-25,6.003671169281006,6.090054988861084,5.960478782653809,6.046863079071045,9956,0,0.0,0.029411702629916103,1.0144928452171715,,,,,,,,5.398984909057617
2017-04-26,6.133246898651123,6.133246898651123,6.090054988861084,6.090054988861084,6598,0,0.0,0.007142862212232259,1.0217392278258532,,,,,,,,5.4853692054748535
2017-04-27,6.090054988861084,6.090054988861084,6.046863079071045,6.046863079071045,2894,0,0.0,-0.007092203579284306,1.0144928452171715,,,,,,,,5.442176818847656
2017-04-28,6.090054988861084,6.090054988861084,6.0209479331970215,6.046863079071045,8451,0,0.0,0.0,1.0144928452171715,,,,,,,,5.442176818847656
2017-05-01,6.090054988861084,6.090054988861084,5.614943981170654,5.658135890960693,30330,0,0.0,-0.06428575991009045,0.9492754017390359,,,,,,,,5.4853692054748535
2017-05-02,5.571753025054932,5.787712097167969,5.571753025054932,5.614943981170654,16901,0,0.0,-0.007633593576117814,0.9420290191303542,,,,5.852499961853027,,,,5.4853692054748535
2017-05-03,5.787712097167969,5.787712097167969,5.701327800750732,5.701327800750732,1389,0,0.0,0.015384627143166574,0.9565217843477176,,,,5.852499961853027,,,,5.424900054931641
2017-05-04,5.701327800750732,5.709967136383057,5.684051036834717,5.701327800750732,1852,0,0.0,0.0,0.9565217843477176,,,,5.852499961853027,,,,5.4853692054748535
2017-05-05,5.74452018737793,5.960478782653809,5.658135890960693,5.960478782653809,5094,0,0.0,0.04545449603317886,1.0000000000000002,,,,5.852499961853027,,,,5.398984909057617
2017-05-08,5.917287826538086,5.960478782653809,5.90001106262207,5.951840877532959,14239,0,0.0,-0.0014491965219283198,0.9985508034780719,,,,5.852499961853027,,,,5.398984909057617
2017-05-09,5.986394882202148,5.986394882202148,5.917287826538086,5.960478782653809,3936,0,0.0,0.00145129974046454,1.0000000000000002,,,,5.830904006958008,,,,5.528561115264893
2017-05-10,5.960478782653809,5.969118118286133,5.874095916748047,5.960478782653809,8335,0,0.0,0.0,1.0000000000000002,,,,5.830904006958008,,,,5.528561115264893
2017-05-11,5.917287826538086,5.917287826538086,5.917287826538086,5.917287826538086,232,0,0.0,-0.007246222609065711,0.9927537773909345,,,,5.830904006958008,,,,5.398984909057617
