Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-20,4.125,4.125,3.875,4.0,6288,0,0.0,,,,,,,,,,5.5
2017-04-21,4.125,4.75,4.0,4.375,22720,0,0.0,0.09375,1.09375,,,,,,,,5.375
2017-04-24,4.875,4.875,4.25,4.375,11872,0,0.0,0.0,1.09375,,,,,,,,5.625
2017-04-25,4.375,4.5,4.125,4.25,12480,0,0.0,-0.02857142857142858,1.0625,,,,,,,,5.75
2017-04-26,4.25,4.75,4.125,4.625,8904,0,0.0,0.08823529411764697,1.15625,,,,,,,,6.25
2017-04-27,4.625,5.875,4.5,5.625,195936,0,0.0,0.21621621621621623,1.40625,,,,,,,,7.0
2017-04-28,5.625,5.75,5.0,5.375,60480,0,0.0,-0.0444444444444444,1.34375,,,,,,,,7.875
2017-05-01,5.375,5.375,4.125,4.625,37760,0,0.0,-0.13953488372093026,1.15625,,,,,,,,8.875
2017-05-02,4.625,4.625,4.125,4.375,23448,0,0.0,-0.05405405405405406,1.09375,,,,4.875,,,,10.25
2017-05-03,4.375,4.5,4.125,4.25,20728,0,0.0,-0.02857142857142858,1.0625,,,,4.9375,,,,9.0
2017-05-04,4.375,5.625,4.25,4.625,99904,0,0.0,0.08823529411764697,1.15625,,,,5.0,,,,9.375
2017-05-05,4.625,5.0,4.375,4.75,22512,0,0.0,0.027027027027026973,1.1875,,,,5.0,,,,9.0
2017-05-08,4.875,5.0,4.625,4.75,8880,0,0.0,0.0,1.1875,,,,5.0,,,,8.0
2017-05-09,4.875,4.875,4.625,4.625,8096,0,0.0,-0.02631578947368418,1.15625,,,,5.0,,,,7.625
2017-05-10,4.625,4.625,4.375,4.375,12736,0,0.0,-0.05405405405405406,1.09375,,,,4.9375,,,,8.25
2017-05-11,4.375,4.625,4.375,4.5,11904,0,0.0,0.02857142857142847,1.125,,,,4.875,,,,7.875
2017-05-12,4.5,4.625,4.375,4.625,12504,0,0.0,0.02777777777777768,1.15625,,,,4.875,,,,7.5
2017-05-15,4.625,5.5,4.625,5.0,34632,0,0.0,0.08108108108108114,1.25,,,,4.875,,,,7.25
2017-05-16,5.25,5.25,4.875,5.0,10320,0,0.0,0.0,1.25,,,,4.9375,,,,7.5
2017-05-17,5.0,5.125,4.75,4.875,12984,0,0.0,-0.025000000000000022,1.21875,4.65,5.410767617884103,3.8892323821158974,4.9375,,,,7.625
2017-05-18,5.125,5.125,4.75,5.0,4648,0,0.0,0.02564102564102555,1.25,4.7,5.412741925686696,3.987258074313305,4.9375,,,,7.875
2017-05-19,5.0,6.125,5.0,5.75,77112,0,0.0,0.1499999999999999,1.4375,4.76875,5.599680478756385,3.937819521243615,5.25,,,,8.375
2017-05-22,5.875,6.0,5.25,5.375,31624,0,0.0,-0.06521739130434778,1.34375,4.81875,5.669221192927778,3.9682788070722212,5.25,,,,10.125
2017-05-23,5.625,5.625,5.125,5.125,25448,0,0.0,-0.046511627906976716,1.28125,4.8625,5.680498037573246,4.044501962426754,5.25,,,,10.625
2017-05-24,5.375,5.375,5.125,5.375,12168,0,0.0,0.04878048780487809,1.34375,4.9,5.7397236387488935,4.060276361251107,5.25,,,,9.375
2017-05-25,5.375,5.5,5.25,5.25,6736,0,0.0,-0.023255813953488413,1.3125,4.88125,5.670050680246849,4.09244931975315,5.375,5.0,,,9.375
2017-05-26,5.375,5.75,5.25,5.5,12448,0,0.0,0.04761904761904767,1.375,4.8875,5.6938284233584895,4.081171576641511,5.4375,5.0625,,,8.625
2017-05-30,5.625,5.625,5.375,5.375,11976,0,0.0,-0.022727272727272707,1.34375,4.925,5.748770854699672,4.101229145300327,5.4375,5.125,,,9.25
2017-05-31,5.375,5.625,5.25,5.625,11272,0,0.0,0.04651162790697683,1.40625,4.9875,5.8245859542107,4.1504140457893,5.4375,5.125,,,9.5
2017-06-01,5.75,6.25,5.5,5.75,68920,0,0.0,0.022222222222222143,1.4375,5.0625,5.890478673765528,4.234521326234472,5.625,5.1875,,,9.125
2017-06-02,5.75,6.25,5.5,6.25,49968,0,0.0,0.08695652173913038,1.5625,5.14375,6.095207711259825,4.192292288740175,5.6875,5.1875,,,9.0
2017-06-05,6.25,8.0,6.125,7.0,160936,0,0.0,0.1200000000000001,1.7500000000000002,5.25625,6.4888984911083005,4.023601508891699,6.5625,6.0625,,,8.625
2017-06-06,7.0,8.0,7.0,7.875,90464,0,0.0,0.125,1.9687500000000002,5.4125,7.072458861253079,3.75254113874692,6.5625,6.0625,,,8.25
2017-06-07,7.875,9.125,7.875,8.875,152184,0,0.0,0.12698412698412698,2.2187500000000004,5.625,7.832148076495759,3.4178519235042404,7.1875,6.625,,,8.75
2017-06-08,9.25,13.125,9.0,10.25,745112,0,0.0,0.15492957746478875,2.5625000000000004,5.91875,8.83964130007299,2.9978586999270096,9.1875,8.625,,,8.5
2017-06-09,9.625,9.625,8.25,9.0,231696,0,0.0,-0.12195121951219512,2.2500000000000004,6.14375,9.280550781805694,3.006949218194305,9.1875,8.6875,,,8.0
2017-06-12,8.875,10.625,7.625,9.375,147280,0,0.0,0.04166666666666674,2.3437500000000004,6.38125,9.73626254017579,3.0262374598242086,9.1875,8.75,,,8.375
2017-06-13,9.375,9.625,8.375,9.0,35856,0,0.0,-0.040000000000000036,2.2500000000000004,6.58125,10.059064753624218,3.1034352463757817,9.3125,8.75,,,8.375
2017-06-14,8.75,8.875,7.75,8.0,61200,0,0.0,-0.11111111111111116,2.0000000000000004,6.73125,10.18170545239282,3.2807945476071816,9.3125,8.75,,,8.125
2017-06-15,8.0,8.625,7.125,7.625,83080,0,0.0,-0.046875,1.9062500000000004,6.86875,10.229407624789022,3.5080923752109783,9.625,8.75,,,7.375
2017-06-16,9.125,9.375,7.75,8.25,99512,0,0.0,0.08196721311475419,2.0625000000000004,7.03125,10.327747293779368,3.734752706220633,10.0625,8.75,,,7.0
2017-06-19,8.375,8.375,7.5,7.875,50104,0,0.0,-0.045454545454545414,1.9687500000000004,7.1375,10.398369636994653,3.8766303630053476,10.125,8.75,,,6.375
2017-06-20,7.5,7.75,7.125,7.5,66600,0,0.0,-0.04761904761904767,1.8750000000000002,7.24375,10.403830143470707,4.083669856529294,10.125,8.875,,,5.75
2017-06-21,6.75,7.75,6.75,7.25,40296,0,0.0,-0.033333333333333326,1.8125000000000002,7.35,10.355464146657226,4.344535853342773,8.6875,8.9375,,,6.5
2017-06-22,7.25,8.125,7.0,7.5,42912,0,0.0,0.034482758620689724,1.8750000000000004,7.45625,10.320346383173096,4.592153616826904,8.6875,8.9375,,,6.25
2017-06-23,8.0,8.125,7.5,7.625,23976,0,0.0,0.016666666666666607,1.9062500000000004,7.575,10.252240527503123,4.897759472496877,8.1875,8.9375,,,7.625
2017-06-26,7.75,8.5,7.5,7.875,48544,0,0.0,0.032786885245901676,1.9687500000000004,7.69375,10.195397075849268,5.192102924150731,8.0625,9.0625,,,6.875
2017-06-27,8.0,8.75,8.0,8.375,52720,0,0.0,0.06349206349206349,2.0937500000000004,7.84375,10.118392178337862,5.569107821662138,8.0625,9.125,,,6.75
2017-06-28,8.75,11.25,8.625,10.125,228832,0,0.0,0.20895522388059695,2.5312500000000004,8.06875,10.310656774788377,5.826843225211622,9.0,9.125,,,7.0
2017-06-29,11.0,13.0,10.0,10.625,426952,0,0.0,0.04938271604938271,2.6562500000000004,8.3125,10.553032420277756,6.071967579722244,9.875,9.125,,,7.0
2017-06-30,10.875,10.875,8.75,9.375,142232,0,0.0,-0.11764705882352944,2.3437500000000004,8.46875,10.539841039067372,6.397658960932628,9.875,9.1875,,,6.625
