Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2018-10-12,24.25,24.700000762939453,21.459999084472656,24.299999237060547,15086200,0,0,,,,,,,,,,22.96999931335449
2018-10-15,23.1200008392334,24.5,22.18000030517578,24.299999237060547,1572200,0,0,0.0,1.0,,,,,,,,21.0
2018-10-16,24.5,24.65999984741211,22.56999969482422,23.020000457763672,1297300,0,0,-0.05267484853846072,0.9473251514615393,,,,,,,,20.950000762939453
2018-10-17,22.76000022888184,26.96999931335449,22.75,25.43000030517578,1149900,0,0,0.10469156383527856,1.04650210302854,,,,,,,,21.459999084472656
2018-10-18,26.06999969482422,26.200000762939453,24.01000022888184,24.5,1639600,0,0,-0.03657099072022019,1.0082304843299923,,,,,,,,22.399999618530277
2018-10-19,24.75,25.959999084472656,24.059999465942383,24.479999542236328,280100,0,0,-0.00081634521484375,1.0074074201986498,,,,,,,,22.5
2018-10-22,24.420000076293945,25.25,24.1299991607666,24.51000022888184,194900,0,0,0.0012255182682396892,1.0086420163956635,,,,,,,,25.0
2018-10-23,24.01000022888184,24.5,23.549999237060547,23.899999618530277,458800,0,0,-0.02488782556732727,0.983539109831731,,,,,,,,26.13999938964844
2018-10-24,23.63999938964844,24.32999992370605,22.5,22.549999237060547,677600,0,0,-0.056485372511179466,0.9279835368335718,,,,24.214999198913574,,,,28.0
2018-10-25,22.75,24.100000381469727,22.6299991607666,23.8700008392334,482400,0,0,0.05853665839613198,0.982304592126433,,,,24.574999809265137,,,,27.959999084472656
2018-10-26,23.59000015258789,26.38999938964844,22.799999237060547,24.61000061035156,458700,0,0,0.031001246129069182,1.0127572585606595,,,,24.734999656677246,,,,27.65999984741211
2018-10-29,24.950000762939453,25.57999992370605,22.149999618530277,22.63999938964844,422500,0,0,-0.0800488082830233,0.931687246932897,,,,24.559999465942383,,,,28.82999992370605
2018-10-30,22.75,23.1299991607666,20.3700008392334,22.61000061035156,936700,0,0,-0.001325034456961971,0.9304527292275988,,,,23.380000114440918,,,,27.530000686645508
2018-10-31,23.0,23.600000381469727,22.31999969482422,23.0,383700,0,0,0.01724897740471043,0.9465020873301968,,,,23.380000114440918,,,,27.299999237060547
2018-11-01,23.059999465942383,24.489999771118164,21.71999931335449,24.049999237060547,436200,0,0,0.04565214074176294,0.9897119338333673,,,,23.380000114440918,,,,25.5
2018-11-02,23.93000030517578,24.959999084472656,23.25,24.739999771118164,420100,0,0,0.02869025180650908,1.0181070184309537,,,,23.380000114440918,,,,25.670000076293945
2018-11-05,24.739999771118164,24.96999931335449,22.899999618530277,23.920000076293945,227300,0,0,-0.03314469290260458,0.9843621739630735,,,,23.380000114440918,,,,26.75
2018-11-06,23.68000030517578,24.38999938964844,23.020000457763672,23.700000762939453,222400,0,0,-0.00919729567946459,0.9753087039934545,,,,23.380000114440918,,,,27.899999618530277
2018-11-07,23.799999237060547,27.299999237060547,23.799999237060547,26.61000061035156,553100,0,0,0.12278479973564305,1.0950617878937203,,,,23.835000038146973,,,,25.13999938964844
2018-11-08,26.6299991607666,27.06999969482422,25.75,25.75,261400,0,0,-0.03231869938465959,1.0596708151631553,24.124499988555907,26.205585892884702,22.043414084227113,23.835000038146973,,,,25.770000457763672
2018-11-09,25.649999618530277,25.649999618530277,23.600000381469727,24.21999931335449,354000,0,0,-0.059417502394000454,0.9967078219663461,24.120499992370604,26.20051691541613,22.040483069325077,23.835000038146973,,,,24.8799991607666
2018-11-12,24.030000686645508,24.209999084472656,22.399999618530277,22.71999931335449,452300,0,0,-0.061932289121615525,0.9349794249665506,24.0414999961853,26.20743938608149,21.875560606289113,24.50999927520752,,,,25.100000381469727
2018-11-13,22.75,23.049999237060547,22.1299991607666,22.690000534057617,228200,0,0,-0.0013203688469849428,0.9337449072612529,24.025,26.22693664104686,21.82306335895314,24.50999927520752,,,,24.6299991607666
2018-11-14,22.75,23.420000076293945,22.600000381469727,22.93000030517578,144800,0,0,0.010577336512527902,0.9436214413622144,23.9,26.051428272110527,21.74857172788947,24.714999198913574,,,,24.40999984741211
2018-11-15,22.979999542236328,23.280000686645508,22.440000534057617,23.040000915527344,279000,0,0,0.0047972354508314385,0.9481482155928819,23.827000045776366,25.991219325049794,21.662780766502937,24.714999198913574,,,,26.229999542236328
2018-11-16,22.86000061035156,24.479999542236328,22.770000457763672,24.1299991607666,366400,0,0,0.04730894973639854,0.9930041118670215,23.80950002670288,25.95774444999028,21.661255603415484,24.714999198913574,23.835000038146973,,,27.040000915527344
